id,material
6042,sculpture Copper and cotton string on wooden base
22556,"on paper, unique Graphite, watercolour and ink on paper"
57302,"on paper, unique Graphite on paper"
33331,"on paper, unique Graphite on paper"
54802,"on paper, unique Graphite on paper"
52405,"on paper, unique Chalk and graphite on paper"
19154,"on paper, print Etching and aquatint on paper"
48908,"on paper, unique Graphite on paper"
99498,installation Ink on banknote
32398,"on paper, unique Chalk on paper"
34795,"on paper, unique Pen and ink on paper"
58766,"on paper, unique Graphite on paper"
5944,painting Oil paint on canvas
53869,"on paper, unique Graphite on paper"
49007,"on paper, unique Graphite on paper"
30836,"on paper, unique"
24950,"on paper, unique Graphite on paper"
19155,"on paper, print Etching and aquatint on paper"
22555,"on paper, unique Graphite, watercolour and ink on paper"
54801,"on paper, unique Graphite on paper"
57303,"on paper, unique Graphite on paper"
48907,"on paper, unique Graphite on paper"
6043,sculpture Bronze
52406,"on paper, unique Chalk and graphite on paper"
58767,"on paper, unique Graphite on paper"
99497,installation Ink on banknote
34794,"on paper, unique Pen and ink on paper"
32399,"on paper, unique Chalk on paper"
33330,"on paper, unique Graphite on paper"
5945,painting Oil paint on canvas
287,painting Oil paint on canvas
49006,"on paper, unique Graphite on paper"
44116,"on paper, unique Graphite on paper"
